,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
424,6,0.012289749924093485,18.0,3509.0,True,500,0.75,500
425,7,0.014058916829526424,20.0,4011.0,True,500,0.75,500
426,8,0.01586658274754882,20.0,4512.0,True,500,0.75,500
427,9,0.017557582817971706,20.0,5013.0,True,500,0.75,500
428,10,0.019226749893277884,20.0,5514.0,True,500,0.75,500
429,0,0.00015583261847496033,13.0,500.0,True,500,0.9,500
430,1,0.0036160419695079327,16.0,1002.0,True,500,0.9,500
431,2,0.0053331670351326466,16.0,1503.0,True,500,0.9,500
432,3,0.007114499807357788,17.0,2005.0,True,500,0.9,500
433,4,0.008892166893929243,17.0,2506.0,True,500,0.9,500
434,5,0.010607832577079535,18.0,3008.0,True,500,0.9,500
435,6,0.012289749924093485,18.0,3509.0,True,500,0.9,500
